Latitude,Longitude,Tooltip,Popup
0.535616948748213,101.4408593952205,"ATM Bank BCA A. Yani, Pekanbaru","<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/E:/Folderr/Comp-vision/SIG/images/Bank BCA A. Yani.png"" 
                         width=""200""><br>
            <b>ATM Bank BCA A. Yani</b><br>
            <p>
            Lokasi: Jl. Jend. Ahmad Yani No.41 C, Kota Baru, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28113<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://www.bca.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BCA</a>
        </div>"
0.5298348953911128,101.44714816749695,ATM Bank BCA 4266 Plaza Sukaramai,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/ATM Bank BCA 4266 Plaza Sukaramai.png"" 
                         width=""200""><br>
            <b>ATM Bank BCA 4266 Plaza Sukaramai</b><br>
            <p>
            Lokasi: Jl. Jend. Sudirman, Sukaramai, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28111<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://www.bca.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BCA</a>
        </div>"
0.5304492237446169,101.41977976564557,ATM BCA Wira Kencana,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/ATM BCA Wira Kencana.jpg"" 
                         width=""200""><br>
            <b>ATM BCA Wira Kencana</b><br>
            <p>
            Lokasi: Jl. Soekarno - Hatta No.56, Labuh Baru Tim., Kec. Payung Sekaki, Kota Pekanbaru, Riau 28291<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://www.bca.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BCA</a>
        </div>"
0.4985930249548644,101.45487352146594,ATM Bank BCA 2907-RSIA Syafira,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/ATM Bank BCA 2907-RSIA Syafira.png"" 
                         width=""200""><br>
            <b>ATM Bank BCA 2907-RSIA Syafira</b><br>
            <p>
            Lokasi: Jl. Jend. Sudirman, Tengkerang Tengah, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28115<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://www.bca.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BCA</a>
        </div>"
0.5324745669193345,101.44814685215337,ATM Bank BCA 6544-Senapelan,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/ATM Bank BCA 6544-Senapelan.png"" 
                         width=""200""><br>
            <b>ATM Bank BCA 6544-Senapelan</b><br>
            <p>
            Lokasi: Lobby Senapelan Plaza, Jl. Jend. Sudirman No. 121, Rintis, Kec. Lima Puluh, Kota Pekanbaru, Riau 28111<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://www.bca.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BCA</a>
        </div>"
0.536026381691666,101.44551671167665,BRI Unit Juanda,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/BRI Unit Juanda.jpg"" 
                         width=""200""><br>
            <b>BRI Unit Juanda</b><br>
            <p>
            Lokasi: Jl. Ir. H. Juanda No.81-83, Sago, Kec. Senapelan, Kota Pekanbaru, Riau 28155<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://bri.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BRI</a>
        </div>"
0.5266026764023216,101.44723811101905,Bank BRI Unit Sudirman,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/bri unit sudirman.jpg"" 
                         width=""200""><br>
            <b>Bank BRI Unit Sudirman</b><br>
            <p>
            Lokasi: Jl. Jend. Sudirman, Sukaramai, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28156<br>
            Buka jam 08.00–16.00<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://bri.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BRI</a>
        </div>"
0.5285256,101.4390289,Bank BRI Unit Pasar Kodim,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/Bank BRI Unit Pasar Kodim.png"" 
                         width=""200""><br>
            <b>Bank BRI Unit Pasar Kodim</b><br>
            <p>
            Lokasi: Jl. Cempaka No.88 A, RT.002/RW.002, Padang Bulan, Kec. Senapelan, Kota Pekanbaru, Riau 28281<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://bri.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BRI</a>
        </div>"
0.5172272,101.4178318,Bank BRI UNIT Sigunggung,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/Bank BRI UNIT Sigunggung.jpg"" 
                         width=""200""><br>
            <b>Bank BRI UNIT Sigunggung</b><br>
            <p>
            Lokasi: Jl. Dharma Bakti No.4, Labuh Baru Bar., Kec. Payung Sekaki, Kota Pekanbaru, Riau 28292<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://bri.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BRI</a>
        </div>"
0.5231103672517159,101.44223053866102,Bank BRI KCP Ahmad Yani,"<div style=""font-family: Arial; font-size: 12px; line-height: 1.5;"">
            <img src=""E:/Folderr/Comp-vision/SIG/images/Bank bri kcp ayani.jpg"" 
                         width=""200""><br>
            <b>Bank BRI KCP Ahmad Yani</b><br>
            <p>
            Lokasi: Jl. Jend. Ahmad Yani, Tanah Datar, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28293<br>
            Buka 24 jam<br>
            Layanan: <br>
            - Penarikan Tunai<br>
            - Transfer Antar Rekening<br>
            - Informasi Saldo
            </p>
            <a href=""https://bri.co.id/"" target=""_blank"" style=""color: blue; text-decoration: underline;"">Kunjungi Situs BRI</a>
        </div>"
